Sales Person,Country,Product,Date,Amount,Boxes Shipped,Sales_Category
Jehu Rudeforth,UK,Mint Chip Choco,04/01/2022,5320.0,180,High
Van Tuxwell,India,85% Dark Bars,01/08/2022,7896.0,94,High
Gigi Bohling,India,Peanut Butter Cubes,07/07/2022,4501.0,91,Low
Jan Morforth,Australia,Peanut Butter Cubes,27/04/2022,12726.0,342,High
Jehu Rudeforth,UK,Peanut Butter Cubes,24/02/2022,13685.0,184,High
Van Tuxwell,India,Smooth Sliky Salty,06/06/2022,5376.0,38,High
Oby Sorrel,UK,99% Dark & Pure,25/01/2022,13685.0,176,High
Gunar Cockshoot,Australia,After Nines,24/03/2022,3080.0,73,Low
Jehu Rudeforth,New Zealand,50% Dark Bites,20/04/2022,3990.0,59,Low
Brien Boise,Australia,99% Dark & Pure,04/07/2022,2835.0,102,Low
Rafaelita Blaksland,UK,Smooth Sliky Salty,13/01/2022,4704.0,62,Low
Barr Faughny,USA,Orange Choco,10/03/2022,3703.0,11,Low
Mallorie Waber,Canada,Eclairs,13/01/2022,1442.0,286,Low
Karlen McCaffrey,New Zealand,Drinking Coco,28/07/2022,168.0,156,Low
Marney O'Breen,New Zealand,Peanut Butter Cubes,03/08/2022,8379.0,173,High
Beverie Moffet,Australia,Organic Choco Syrup,26/01/2022,6790.0,356,High
Van Tuxwell,Canada,Organic Choco Syrup,14/02/2022,4067.0,42,Low
Roddy Speechley,USA,Smooth Sliky Salty,05/04/2022,3017.0,140,Low
Beverie Moffet,Canada,Milk Bars,16/02/2022,8799.0,250,High
Curtice Advani,UK,85% Dark Bars,08/06/2022,1085.0,172,Low
Brien Boise,Australia,Eclairs,27/06/2022,6888.0,88,High
Gunar Cockshoot,USA,Spicy Special Slims,17/02/2022,1267.0,157,Low
Marney O'Breen,USA,After Nines,30/05/2022,4753.0,163,Low
Husein Augar,UK,Drinking Coco,14/03/2022,3003.0,113,Low
Kaine Padly,Australia,Eclairs,28/02/2022,7672.0,115,High
Karlen McCaffrey,India,Fruit & Nut Bars,26/01/2022,168.0,321,Low
Roddy Speechley,Canada,Spicy Special Slims,09/02/2022,1652.0,186,Low
Husein Augar,USA,Eclairs,07/07/2022,4025.0,112,Low
Dennison Crosswaite,New Zealand,White Choc,05/07/2022,9492.0,151,High
Dennison Crosswaite,New Zealand,Manuka Honey Choco,15/06/2022,5061.0,301,High
Van Tuxwell,New Zealand,85% Dark Bars,24/05/2022,1722.0,121,Low
Rafaelita Blaksland,UK,99% Dark & Pure,29/06/2022,12446.0,150,High
Wilone O'Kielt,Australia,Manuka Honey Choco,11/05/2022,4284.0,94,Low
Karlen McCaffrey,UK,Almond Choco,30/06/2022,6839.0,133,High
Andria Kimpton,Canada,After Nines,11/05/2022,2163.0,70,Low
Roddy Speechley,USA,Manuka Honey Choco,22/07/2022,9583.0,315,High
Andria Kimpton,UK,50% Dark Bites,24/08/2022,2653.0,314,Low
Kelci Walkden,New Zealand,After Nines,07/07/2022,147.0,72,Low
Camilla Castle,Australia,85% Dark Bars,19/05/2022,3654.0,14,Low
Karlen McCaffrey,India,Manuka Honey Choco,04/07/2022,2443.0,581,Low
Kelci Walkden,USA,After Nines,02/06/2022,938.0,16,Low
Karlen McCaffrey,USA,Raspberry Choco,15/04/2022,14749.0,354,High
Mallorie Waber,Canada,Choco Coated Almonds,11/07/2022,4781.0,241,Low
Andria Kimpton,India,Spicy Special Slims,23/02/2022,6307.0,142,High
Madelene Upcott,Canada,Almond Choco,22/08/2022,7602.0,102,High
Kaine Padly,USA,Peanut Butter Cubes,16/02/2022,6790.0,188,High
Van Tuxwell,USA,50% Dark Bites,13/01/2022,9737.0,160,High
Curtice Advani,Australia,Milk Bars,14/02/2022,6979.0,18,High
Roddy Speechley,India,Eclairs,10/06/2022,4382.0,303,Low
Curtice Advani,India,Fruit & Nut Bars,07/07/2022,5243.0,176,High
Curtice Advani,Canada,Almond Choco,24/03/2022,4865.0,70,Low
Brien Boise,Australia,Fruit & Nut Bars,06/06/2022,8575.0,23,High
Dotty Strutley,Australia,Drinking Coco,19/07/2022,91.0,135,Low
Beverie Moffet,USA,Raspberry Choco,19/04/2022,14798.0,83,High
Marney O'Breen,India,85% Dark Bars,19/07/2022,2205.0,179,Low
Jehu Rudeforth,Canada,Drinking Coco,15/07/2022,441.0,24,Low
Ches Bonnell,New Zealand,Spicy Special Slims,14/02/2022,3556.0,18,Low
Brien Boise,Canada,99% Dark & Pure,18/05/2022,16793.0,416,High
Barr Faughny,Australia,Fruit & Nut Bars,30/06/2022,15421.0,55,High
Andria Kimpton,Australia,50% Dark Bites,02/06/2022,4438.0,227,Low
Andria Kimpton,Australia,Drinking Coco,28/06/2022,1603.0,48,Low
Marney O'Breen,Australia,Organic Choco Syrup,16/05/2022,273.0,174,Low
Kelci Walkden,Canada,Baker's Choco Chips,26/05/2022,3073.0,302,Low
Karlen McCaffrey,India,Almond Choco,06/07/2022,6090.0,149,High
Oby Sorrel,India,99% Dark & Pure,27/05/2022,10255.0,11,High
Wilone O'Kielt,Australia,Caramel Stuffed Bars,14/04/2022,2030.0,11,Low
Van Tuxwell,Australia,Organic Choco Syrup,10/08/2022,19453.0,14,High
Camilla Castle,India,50% Dark Bites,04/07/2022,9275.0,411,High
Oby Sorrel,India,Organic Choco Syrup,08/07/2022,6181.0,56,High
Jan Morforth,USA,Peanut Butter Cubes,22/07/2022,9037.0,102,High
